nama_kabupaten_kota,ANAK BALITA TERLANTAR,ANAK BERHADAPAN DENGAN HUKUM,ANAK DENGAN KEDISABILITASAN,ANAK GELANDANGAN,ANAK JALANAN,ANAK KORBAN TINDAK KEKERASAN,ANAK NAKAL (ABH) ,ANAK TERLANTAR,ANAK YANG MEMERLUKAN PERLINDUNGAN KHUSUS,BALITA TERLANTAR ,BEKAS WARGA BINAAN LEMBAGA KEMASYARAKATAN (BWBLK),BEKAS WARGA BINAAN LEMBAGA PEMASYARAKATAN,FAKIR MISKIN/RUMAH TANGGA MISKIN,GELANDANGAN,KELOMPOK MINORITAS (WARIA),KELUARGA BERMASALAH PSIKOLOGIS,KELUARGA BERMASALAH SOSIAL PSIKOLOGIS,KELUARGA BERUMAH TAK LAYAK HUNI,KELUARGA FAKIR MISKIN,KELUARGA RENTAN,KOMUNITAS ADAT TERPENCIL,KORBAN BENCANA ALAM,KORBAN BENCANA SOSIAL,KORBAN BENCANA SOSIAL ATAU PENGUNGSI,KORBAN PENYALAHGUNAAN NAPZA,KORBAN TINDAK KEKERASAN,KORBAN TRAFFICKING,LAIN LAIN,LANJUT USIA TERLANTAR,ORANG DENGAN HIV/AIDS (ODHA),PEKERJA MIGRAN BERMASALAH SOSIAL,PEMULUNG,PENGEMIS,PENYANDANG CACAT,PENYANDANG DISABILITAS,PEREMPUAN RAWAN SOSIAL EKONOMI,TUNA SUSILA,WANITA RAWAN SOSIAL EKONOMI (JIWA),Group
KABUPATEN BANDUNG BARAT,-0.639921149,-1.025699927,-0.448000604,-0.798256966,-0.320564166,-0.613518625,5.70038744,-0.805463663,-0.392932987,0.48782278,0.386817511,-1.471069396,-1.030060054,-0.646686404,-0.727955625,-0.278503597,-0.620257204,1.523334986,2.176618826,0.147276702,-0.357085065,0.163613168,-0.831692017,-0.685592913,0.268570264,-0.251396216,-0.506365898,-0.22501758,-0.580371295,-0.546726779,-0.641525908,-0.64920266,-0.528864165,2.849711037,-1.08968455,-1.31917442,-0.513507134,1.836853875,1
KABUPATEN BEKASI,0.252365343,-1.025699927,-0.448000604,-0.798256966,-0.61349923,-0.613518625,-0.686435638,1.481591375,-0.392932987,-0.433153456,-0.946144427,-1.425229789,3.289990401,-0.512283826,-0.727955625,-0.284487449,-0.09487634,-0.790072159,-1.114586646,-0.57681652,-0.357085065,-0.487699994,-0.831692017,-0.685592913,-1.019728464,-0.251396216,-0.506365898,-0.22501758,0.978889549,-0.567305947,-0.941493682,0.66685712,-0.511091367,-1.029143514,-0.706561433,5.053298957,-0.47320471,-0.834733072,0
KABUPATEN BOGOR,0.191671744,-0.072049679,0.595133042,-0.798256966,0.647009226,-0.613518625,-0.686435638,0.99754357,-0.13896498,-0.433153456,-0.946144427,0.943149919,0.53147921,-0.374521183,-0.2694009,-0.284487449,-0.620257204,-0.790072159,-1.114586646,-0.57681652,-0.357085065,0.33877739,1.979174022,-0.685592913,-0.040164047,-0.18468744,0.800925456,-0.22501758,-0.381770952,-0.491574606,-0.644973813,1.410799091,0.097133278,-1.029143514,1.7839341,0.735119259,0.599459803,-0.834733072,0
KABUPATEN CIAMIS,-1.575531095,-2.081376727,-0.829131281,-2.087209477,-2.324284386,-1.133074939,-1.420624605,-2.032037968,-1.134318688,-0.944455311,3.918304818,-2.243466779,-0.99537175,-2.18870398,-2.15447234,-0.852808937,-1.860771613,2.393162072,0.513217448,0.183619198,-0.849191958,0.554710214,-1.64749183,0.430283834,-2.091055579,-0.749395204,-1.452057112,-0.675052741,-2.205591322,-1.697802008,-2.558992326,-1.671934051,-1.788017538,2.064430736,-0.114243721,-0.291221456,-2.183810091,0.643162738,1
KABUPATEN CIANJUR,-0.639921149,-1.025699927,-0.448000604,-0.798256966,-0.589087975,-0.613518625,-0.130545481,-0.805463663,-0.392932987,-0.122524031,2.6965188,-1.471069396,-1.030060054,-0.562684793,-0.727955625,-0.281323573,-0.620257204,1.695871217,5.194854912,0.449594811,-0.198995725,0.0172628,-0.831692017,0.282820832,-0.078279394,-0.251396216,-0.506365898,-0.22501758,-0.517978803,-0.563190114,-0.182954483,-0.64920266,-0.244499396,1.979670468,-1.08968455,-1.31917442,-0.671616643,2.082303366,1
KABUPATEN CIREBON,-0.67690348,-1.88503697,1.530939991,-2.394770898,-1.569754676,-1.840555876,1.879233985,-0.486639999,-1.143645197,-0.652740089,4.044706381,2.707210805,-2.308159883,-1.046282068,-1.813495751,-0.838365156,-1.605954736,1.275015285,2.61420691,2.379790263,-0.702175024,-1.390465059,-0.315573768,-1.022336783,-1.267764084,-0.74580012,-1.267695511,-0.675052741,-0.344372876,-1.696978842,-0.352332838,0.189809052,-0.117374521,3.028496742,0.259896897,0.832539992,-1.579273733,2.438819539,1
KABUPATEN GARUT,-0.622709531,0.152338615,-0.448000604,3.756977059,-0.646787305,0.138179871,-0.686435638,0.018370761,-0.359931494,-0.433153456,-0.946144427,-1.150192145,1.213033569,-0.676926984,0.85934919,-0.284487449,0.367516083,-0.790072159,-1.114586646,-0.57681652,-0.240824811,-0.476894799,0.552118956,-0.685592913,0.75263517,0.211570678,0.164039925,-0.22501758,5.588292431,-0.204289409,3.809720028,0.073969357,0.024067331,-1.029143514,1.092281664,0.557290628,-0.583261329,-0.834733072,0
KABUPATEN INDRAMAYU,-0.639921149,-1.025699927,-0.448000604,-0.798256966,-0.298372116,-0.613518625,-0.236992532,-0.805463663,-0.392932987,-0.270200315,3.362999769,-1.471069396,-1.030060054,-0.18299751,-0.727955625,-0.281186013,-0.620257204,0.736905798,4.016282342,-0.094394005,-0.357085065,-0.504027845,-0.831692017,-0.685592913,-0.863455541,-0.251396216,-0.506365898,-0.22501758,-0.124874594,-0.567305947,-0.941493682,-0.64920266,0.446664974,4.758305296,-1.08968455,-1.31917442,0.5545071,0.025442935,1
KABUPATEN KUNINGAN,-1.426061784,2.63077744,0.206562039,2.044088534,-2.153405599,1.07780299,-1.349659904,-1.758456931,-0.825109053,-0.688386089,1.011068867,4.494955488,-1.907379569,-1.513331026,-1.789980124,-0.844899247,-0.913081879,-0.519275359,-0.48346515,0.129404096,-1.063258457,-1.460698829,-2.348046135,-1.286449623,-2.350239938,-0.74580012,-1.284455656,-0.675052741,-2.285472618,-1.606430499,-2.762418747,-0.505040301,-1.82553789,1.866000431,-0.306391094,-1.143788225,-2.028800769,0.890817808,1
KABUPATEN MAJALENGKA,-0.656974239,2.939311344,-0.546398909,-0.167028711,-1.09928321,-1.663685642,3.96086521,-1.424080107,-1.071185398,-0.301372378,2.355521856,0.904186253,-2.541313783,-1.358768062,-1.207968358,-0.84321414,-1.479977853,-0.500966271,-0.201334052,0.042108594,-0.839964954,-1.198732871,-1.76857529,-0.582148717,-1.793755872,-0.712645459,-1.452057112,-0.675052741,0.939872578,-1.298566133,-0.855727034,-0.359650626,-1.440460599,3.052918933,5.394762079,-1.139938078,-1.31885807,0.160455909,1
